company_id,metric_type,period_years,value_pct,metric_category
HDFCBANK,compounded_sales_growth,10,21.0,Growth
HDFCBANK,compounded_profit_growth,10,22.0,Growth
HDFCBANK,stock_price_cagr,10,15.0,Returns
HDFCBANK,roe,10,17.0,Profitability
SBILIFE,compounded_sales_growth,5,24.0,Growth
SBILIFE,compounded_profit_growth,5,6.0,Growth
SBILIFE,stock_price_cagr,5,8.0,Returns
SBILIFE,compounded_sales_growth,3,17.0,Growth
SBILIFE,compounded_profit_growth,3,9.0,Growth
SBILIFE,stock_price_cagr,3,7.0,Returns
SBILIFE,roe,3,13.0,Profitability
TCS,compounded_sales_growth,10,11.0,Growth
TCS,compounded_profit_growth,10,9.0,Growth
TCS,stock_price_cagr,10,14.0,Returns
TCS,roe,10,40.0,Profitability
TCS,compounded_sales_growth,5,10.0,Growth
TCS,compounded_profit_growth,5,8.0,Growth
TCS,stock_price_cagr,5,16.0,Returns
TCS,roe,5,44.0,Profitability
TCS,compounded_sales_growth,3,14.0,Growth
TCS,compounded_profit_growth,3,12.0,Growth
TCS,stock_price_cagr,3,8.0,Returns
TCS,roe,3,47.0,Profitability
TCS,stock_price_cagr,1,16.0,Returns
WIPRO,compounded_sales_growth,10,8.0,Growth
WIPRO,compounded_profit_growth,10,3.0,Growth
WIPRO,stock_price_cagr,10,12.0,Returns
WIPRO,roe,10,18.0,Profitability
WIPRO,compounded_sales_growth,5,9.0,Growth
WIPRO,compounded_profit_growth,5,4.0,Growth
WIPRO,stock_price_cagr,5,20.0,Returns
WIPRO,roe,5,17.0,Profitability
WIPRO,compounded_sales_growth,3,13.0,Growth
WIPRO,compounded_profit_growth,3,0.0,Growth
WIPRO,roe,3,17.0,Profitability
HDFCBANK,compounded_sales_growth,5,22.0,Growth
HDFCBANK,compounded_profit_growth,5,23.0,Growth
HDFCBANK,stock_price_cagr,5,8.0,Returns
HDFCBANK,roe,5,17.0,Profitability
WIPRO,stock_price_cagr,1,39.0,Returns
HDFCBANK,compounded_sales_growth,3,30.0,Growth
HDFCBANK,compounded_profit_growth,3,26.0,Growth
HDFCBANK,stock_price_cagr,3,8.0,Returns
HDFCBANK,roe,3,17.0,Profitability
HDFCBANK,stock_price_cagr,1,13.0,Returns
INFY,compounded_sales_growth,10,12.0,Growth
INFY,compounded_profit_growth,10,9.0,Growth
INFY,stock_price_cagr,10,15.0,Returns
INFY,roe,10,27.0,Profitability
INFY,compounded_sales_growth,5,13.0,Growth
INFY,compounded_profit_growth,5,11.0,Growth
INFY,stock_price_cagr,5,22.0,Returns
INFY,roe,5,29.0,Profitability
INFY,compounded_sales_growth,3,5.0,Growth
INFY,compounded_profit_growth,3,10.0,Growth
INFY,stock_price_cagr,3,4.0,Returns
INFY,roe,3,31.0,Profitability
INFY,stock_price_cagr,1,27.0,Returns
SBILIFE,compounded_sales_growth,10,23.0,Growth
SBILIFE,compounded_profit_growth,10,9.0,Growth
SBILIFE,stock_price_cagr,10,9.0,Returns
SBILIFE,roe,10,16.0,Profitability
