id_x,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,id_y,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,free_cash_flow,fcf_conversion_rate,capex_intensity,cfo_pat_ratio,cfo_pat_avg_5yr,cfo_quality,cfo_sign,cfi_sign,cff_sign,pattern,capital_allocation
61,ABB,Dec 2012,101.0,-59.0,-42.0,1,61,1653,1451,202.0,12,33,0,19,215,33,145,68,25,42.0,20.792079207920793,3.569267997580157,0.696551724137931,0.696551724137931,Moderate,+,-,-,+--,Reinvestor
62,ABB,Mar 2014,155.0,-144.0,-42.0,-31,62,2276,2009,267.0,12,49,0,22,295,33,198,93,25,11.0,4.119850187265917,6.32688927943761,0.7828282828282829,0.7396900034831069,Moderate,+,-,-,+--,Reinvestor
63,ABB,Mar 2015,215.0,-187.0,-58.0,-30,63,2289,1977,312.0,14,48,0,15,344,34,229,108,29,28.0,8.974358974358974,8.169506334643948,0.9388646288209607,0.8060815452623915,Moderate,+,-,-,+--,Reinvestor
64,ABB,Mar 2016,249.0,-77.0,-80.0,91,64,2614,2250,365.0,14,50,3,14,398,36,255,120,29,172.0,47.12328767123288,2.9456771231828616,0.9764705882352941,0.8486788060056172,Moderate,+,-,-,+--,Reinvestor
65,ABB,Mar 2017,307.0,-155.0,-90.0,62,65,2903,2505,398.0,14,57,2,16,436,37,277,130,31,152.0,38.19095477386934,5.339304168101963,1.108303249097473,0.9006036946239883,Moderate,+,-,-,+--,Reinvestor
66,ABB,Mar 2018,153.0,-215.0,-102.0,-165,66,3298,2774,525.0,16,117,4,16,621,35,401,189,29,-62.0,-11.80952380952381,6.519102486355368,0.38154613466334164,0.8376025767290705,Moderate,+,-,-,+--,Reinvestor
67,ABB,Mar 2019,499.0,-257.0,-143.0,99,67,3679,3074,605.0,16,113,2,17,699,36,450,212,31,242.0,40.0,6.985593911388964,1.1088888888888888,0.9028146979411916,Moderate,+,-,-,+--,Reinvestor
68,ABB,Mar 2020,626.0,-401.0,-217.0,8,68,4093,3336,757.0,18,114,9,60,803,26,593,279,90,225.0,29.722589167767506,9.79721475690203,1.0556492411467115,0.9261716204063418,Moderate,+,-,-,+--,Reinvestor
69,ABB,Mar 2021,727.0,-72.0,-582.0,73,69,4310,3388,922.0,21,81,18,58,926,25,691,325,85,655.0,71.04121475054231,1.6705336426914155,1.0520984081041969,0.9412971843801223,Moderate,+,-,-,+--,Reinvestor
70,ABB,Mar 2022,948.0,-396.0,-637.0,-86,70,4913,3832,1082.0,22,83,19,66,1080,26,799,376,73,552.0,51.01663585951941,8.0602483207816,1.1864831038798498,0.9569331553365977,Moderate,+,-,-,+--,Reinvestor
71,ABB,Mar 2023,893.0,-148.0,-639.0,107,71,5349,4143,1206.0,23,154,16,70,1274,25,949,447,73,745.0,61.77446102819238,2.766872312581791,0.9409905163329821,1.068822031670526,High Quality,+,-,-,+--,Reinvestor
72,ABB,Mar 2024,1213.0,-416.0,-745.0,52,72,5849,4396,1453.0,25,248,12,71,1618,26,1201,565,73,797.0,54.852030282174816,7.112326893486067,1.009991673605329,1.049042588613814,High Quality,+,-,-,+--,Reinvestor
73,ABB,Mar 2014,0.0,0.0,0.0,0,62,2276,2009,267.0,12,49,0,22,295,33,198,93,25,0.0,0.0,0.0,0.0,0.8379127403844715,Moderate,+,+,+,+++,Cash Accumulator
74,ABB,Mar 2015,-35.0,-1864.0,1902.0,3,63,2289,1977,312.0,14,48,0,15,344,34,229,108,29,-1899.0,-608.6538461538462,81.43294014853649,-0.15283842794759825,0.5969253731741125,Moderate,-,-,+,--+,Growth Funded by Debt
75,ABB,Mar 2016,1544.0,-816.0,-722.0,6,64,2614,2250,365.0,14,50,3,14,398,36,255,120,29,728.0,199.45205479452056,31.216526396327467,6.0549019607843135,1.5706091445550052,High Quality,+,-,-,+--,Reinvestor
76,ABB,Mar 2017,2189.0,-1730.0,-455.0,4,65,2903,2505,398.0,14,57,2,16,436,37,277,130,31,459.0,115.32663316582914,59.59352394075095,7.902527075812275,2.9629164564508637,High Quality,+,-,-,+--,Reinvestor
77,ABB,Mar 2018,2198.0,-3192.0,1589.0,596,66,3298,2774,525.0,16,117,4,16,621,35,401,189,29,-994.0,-189.33333333333334,96.78593086719223,5.4812967581047385,3.8571774733507453,High Quality,+,-,+,+-+,Mixed
78,ABB,Mar 2019,2591.0,-3050.0,38.0,-421,67,3679,3074,605.0,16,113,2,17,699,36,450,212,31,-459.0,-75.86776859504131,82.90296276162,5.757777777777778,5.008733028906301,High Quality,+,-,+,+-+,Mixed
79,ABB,Mar 2020,5437.0,-5643.0,1250.0,1045,68,4093,3336,757.0,18,114,9,60,803,26,593,279,90,-206.0,-27.212681638044916,137.86953334962132,9.168634064080944,6.87302752731201,High Quality,+,-,+,+-+,Mixed
80,ABB,Mar 2021,3784.0,-4009.0,-745.0,-969,69,4310,3388,922.0,21,81,18,58,926,25,691,325,85,-225.0,-24.40347071583514,93.01624129930394,5.476121562952243,6.757271447745595,High Quality,+,-,-,+--,Reinvestor
81,ABB,Mar 2022,4097.0,-3936.0,-235.0,-75,70,4913,3832,1082.0,22,83,19,66,1080,26,799,376,73,161.0,14.87985212569316,80.11398330958681,5.127659574468085,6.202297947476757,High Quality,+,-,-,+--,Reinvestor
