company_id,peer_group_name,is_benchmark,broad_sector,sub_sector,market_cap_category,peer_group_size,overall_peer_percentile,overall_peer_rank,peer_performance_class
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,70.52631578947368,1.0,Above Peer Average
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,70.0,2.0,Above Peer Average
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,68.24561403508773,3.0,Above Peer Average
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,68.03508771929825,4.0,Above Peer Average
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,67.2280701754386,5.0,Above Peer Average
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,65.99999999999999,6.0,Above Peer Average
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,64.49122807017542,7.0,Above Peer Average
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,64.14035087719299,8.0,Above Peer Average
TATAMOTORS,Automobiles,False,Consumer Discretionary,Automobiles,Large Cap,7,63.40350877192983,9.0,Above Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,62.87719298245614,10.0,Above Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,62.807017543859644,11.0,Above Peer Average
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,62.03508771929826,12.0,Above Peer Average
EICHERMOT,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,61.157894736842096,13.0,Above Peer Average
MARUTI,Automobiles,True,Consumer Discretionary,Automobiles,Mid Cap,7,59.1578947368421,14.0,Peer Average
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,59.052631578947384,15.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,58.00000000000001,16.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,57.92982456140351,17.0,Peer Average
HEROMOTOCO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,57.824561403508774,18.0,Peer Average
EICHERMOT,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,57.1578947368421,19.0,Peer Average
TATAMOTORS,Automobiles,False,Consumer Discretionary,Automobiles,Large Cap,7,56.87719298245615,20.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,56.84210526315789,21.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,56.771929824561404,22.0,Peer Average
MARUTI,Automobiles,True,Consumer Discretionary,Automobiles,Mid Cap,7,56.526315789473685,23.0,Peer Average
MARUTI,Automobiles,True,Consumer Discretionary,Automobiles,Mid Cap,7,56.42105263157895,24.0,Peer Average
MARUTI,Automobiles,True,Consumer Discretionary,Automobiles,Mid Cap,7,55.964912280701746,25.0,Peer Average
EICHERMOT,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,55.614035087719294,26.0,Peer Average
MARUTI,Automobiles,True,Consumer Discretionary,Automobiles,Mid Cap,7,55.57894736842105,27.0,Peer Average
MARUTI,Automobiles,True,Consumer Discretionary,Automobiles,Mid Cap,7,54.70175438596491,28.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,53.96491228070176,29.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,53.894736842105274,30.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,53.78947368421053,31.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,53.719298245614034,32.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,53.508771929824555,33.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,53.43859649122807,34.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,53.01754385964912,35.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,52.94736842105263,36.0,Peer Average
TATAMOTORS,Automobiles,False,Consumer Discretionary,Automobiles,Large Cap,7,52.80701754385965,37.0,Peer Average
MARUTI,Automobiles,True,Consumer Discretionary,Automobiles,Mid Cap,7,52.73684210526316,38.0,Peer Average
EICHERMOT,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,52.49122807017544,39.0,Peer Average
EICHERMOT,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,52.10526315789475,40.0,Peer Average
EICHERMOT,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,51.999999999999986,41.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,51.33333333333333,42.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,51.26315789473684,43.0,Peer Average
TATAMOTORS,Automobiles,False,Consumer Discretionary,Automobiles,Large Cap,7,51.228070175438596,44.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,50.94736842105263,45.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,50.877192982456144,46.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,50.73684210526315,47.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,50.66666666666666,48.0,Peer Average
M&M,Automobiles,False,Consumer Discretionary,Automobiles,Large Cap,7,50.315789473684205,49.0,Peer Average
EICHERMOT,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,50.175438596491226,50.0,Peer Average
TATAMOTORS,Automobiles,False,Consumer Discretionary,Automobiles,Large Cap,7,50.035087719298254,51.0,Peer Average
MARUTI,Automobiles,True,Consumer Discretionary,Automobiles,Mid Cap,7,49.1578947368421,52.0,Peer Average
TVSMOTOR,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,48.94736842105263,53.0,Peer Average
TATAMOTORS,Automobiles,False,Consumer Discretionary,Automobiles,Large Cap,7,48.771929824561404,54.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,48.73684210526316,55.0,Peer Average
BAJAJ-AUTO,Automobiles,False,Consumer Discretionary,Two Wheelers,Large Cap,7,48.666666666666664,56.0,Peer Average
