company_id,peer_group_name,id_x,id_y,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,id_x_peer_percentile,id_y_peer_percentile,net_profit_margin_pct_peer_percentile,operating_profit_margin_pct_peer_percentile,return_on_equity_pct_peer_percentile,debt_to_equity_peer_percentile,interest_coverage_peer_percentile,asset_turnover_peer_percentile,free_cash_flow_cr_peer_percentile,capex_cr_peer_percentile,earnings_per_share_peer_percentile,book_value_per_share_peer_percentile,dividend_payout_ratio_pct_peer_percentile,total_debt_cr_peer_percentile,cash_from_operations_cr_peer_percentile,id_x_peer_rank,id_y_peer_rank,net_profit_margin_pct_peer_rank,operating_profit_margin_pct_peer_rank,return_on_equity_pct_peer_rank,debt_to_equity_peer_rank,interest_coverage_peer_rank,asset_turnover_peer_rank,free_cash_flow_cr_peer_rank,capex_cr_peer_rank,earnings_per_share_peer_rank,book_value_per_share_peer_rank,dividend_payout_ratio_pct_peer_rank,total_debt_cr_peer_rank,cash_from_operations_cr_peer_rank
HDFCBANK,Private Banks,1,479,19.25,3534.0,18.84,9.1583,1.7722,0.088,-6749.0,902.0,14.0,7.6981,19.0,335588,-5847.0,10.833333333333334,21.666666666666668,35.0,80.0,98.33333333333333,91.66666666666666,66.66666666666666,88.33333333333333,40.0,26.666666666666668,8.333333333333332,40.0,84.16666666666667,35.0,26.666666666666668,5.0,48.0,40.0,13.0,2.0,6.0,21.0,8.0,37.0,45.0,40.0,37.0,5.0,40.0,45.0
HDFCBANK,Private Banks,1,480,20.6,5602.0,19.85,9.4341,1.6294,0.0845,3112.0,1099.0,18.0,9.2015,19.0,416677,4211.0,10.833333333333334,23.333333333333332,50.0,81.66666666666667,100.0,96.66666666666667,60.0,83.33333333333334,63.33333333333333,28.333333333333332,24.166666666666668,53.333333333333336,84.16666666666667,43.333333333333336,46.666666666666664,5.0,47.0,31.0,12.0,1.0,3.0,25.0,11.0,23.0,44.0,36.0,29.0,5.0,35.0,33.0
HDFCBANK,Private Banks,1,481,21.12,7214.0,16.95,8.0717,1.6947,0.0835,-22081.0,800.0,21.0,12.6056,19.0,509762,-21281.0,10.833333333333334,25.0,60.0,83.33333333333334,93.33333333333333,63.33333333333333,65.0,81.66666666666667,16.666666666666664,21.666666666666668,33.33333333333333,68.33333333333333,84.16666666666667,51.66666666666667,8.333333333333332,5.0,46.0,25.0,11.0,5.0,23.0,22.0,12.0,51.0,48.0,33.0,20.0,5.0,30.0,56.0
HDFCBANK,Private Banks,1,482,20.3,9037.0,17.25,8.7423,1.79,0.0829,-35272.0,837.0,25.0,14.6846,19.0,649587,-34435.0,10.833333333333334,26.666666666666668,46.666666666666664,85.0,95.0,80.0,70.0,78.33333333333333,8.333333333333332,23.333333333333332,38.333333333333336,75.0,84.16666666666667,61.66666666666667,6.666666666666667,5.0,45.0,33.0,10.0,4.0,13.0,19.0,14.0,56.0,47.0,31.0,16.0,5.0,24.0,57.0
HDFCBANK,Private Banks,1,483,20.9,11374.0,16.69,8.0784,1.8498,0.0821,16136.0,1146.0,30.0,17.8936,18.0,741550,17282.0,10.833333333333334,28.333333333333332,56.666666666666664,86.66666666666667,88.33333333333333,65.0,80.0,76.66666666666667,75.0,31.666666666666664,46.666666666666664,81.66666666666667,78.33333333333333,68.33333333333333,68.33333333333333,5.0,44.0,27.0,9.0,8.0,22.0,13.0,15.0,16.0,42.0,28.0,12.0,6.0,20.0,20.0
HDFCBANK,Private Banks,1,484,21.76,13374.0,16.94,8.6207,1.8402,0.0773,16372.0,842.0,36.0,21.1173,18.0,944817,17214.0,10.833333333333334,30.0,63.33333333333333,90.0,91.66666666666666,75.0,76.66666666666667,59.166666666666664,78.33333333333333,25.0,57.49999999999999,88.33333333333333,78.33333333333333,76.66666666666667,66.66666666666666,5.0,43.0,23.0,7.0,6.0,16.0,15.0,25.0,14.0,46.0,23.0,8.0,6.0,15.0,21.0
HDFCBANK,Private Banks,1,485,21.34,16592.0,14.61,7.0294,1.8405,0.0813,-64375.0,1503.0,41.0,28.1969,18.0,1080235,-62872.0,10.833333333333334,31.666666666666664,61.66666666666667,95.0,60.0,35.0,78.33333333333333,75.0,3.3333333333333335,35.0,65.0,91.66666666666666,78.33333333333333,81.66666666666667,1.6666666666666667,5.0,42.0,24.0,4.0,24.0,40.0,14.0,16.0,59.0,40.0,20.0,6.0,6.0,12.0,60.0
HDFCBANK,Private Banks,1,486,22.34,14593.0,15.48,7.5587,1.8277,0.0773,-18272.0,1403.0,50.0,32.1821,5.0,1333041,-16869.0,10.833333333333334,33.33333333333333,65.0,93.33333333333333,75.0,56.666666666666664,75.0,59.166666666666664,20.0,33.33333333333333,74.16666666666667,93.33333333333333,35.0,90.0,11.666666666666666,5.0,41.0,22.0,5.0,16.0,27.0,16.0,25.0,49.0,41.0,15.0,5.0,15.0,7.0,54.0
HDFCBANK,Private Banks,1,487,24.78,16848.0,15.18,7.2037,1.9197,0.0714,40653.0,1823.0,58.0,38.078,11.0,1511418,42476.0,10.833333333333334,35.0,81.66666666666667,96.66666666666667,66.66666666666666,48.333333333333336,86.66666666666667,41.66666666666667,95.0,38.333333333333336,78.33333333333333,95.0,40.0,93.33333333333333,86.66666666666667,5.0,40.0,12.0,3.0,20.0,32.0,9.0,34.0,4.0,38.0,13.0,4.0,12.0,5.0,9.0
HDFCBANK,Private Banks,1,488,28.07,20795.0,15.43,7.217,1.7813,0.064,-14011.0,2051.0,69.0,44.5634,23.0,1784970,-11960.0,10.833333333333334,36.666666666666664,90.0,98.33333333333333,73.33333333333333,50.0,68.33333333333333,20.0,26.666666666666668,40.0,88.33333333333333,96.66666666666667,90.0,96.66666666666667,21.666666666666668,5.0,39.0,7.0,2.0,17.0,31.0,20.0,43.0,45.0,37.0,8.0,3.0,4.0,3.0,48.0
HDFCBANK,Private Banks,1,489,27.03,29932.0,15.94,7.3909,1.8595,0.0675,17822.0,2992.0,82.0,51.8706,23.0,2139212,20814.0,10.833333333333334,38.333333333333336,86.66666666666667,100.0,81.66666666666667,55.00000000000001,81.66666666666667,32.5,80.0,43.333333333333336,93.33333333333333,98.33333333333333,90.0,98.33333333333333,75.0,5.0,38.0,9.0,1.0,12.0,28.0,12.0,38.0,13.0,35.0,5.0,2.0,4.0,2.0,16.0
HDFCBANK,Private Banks,1,490,23.07,-44685.0,14.34,6.8088,1.4008,0.0704,35669.0,16600.0,84.0,60.0521,23.0,3107503,19069.0,10.833333333333334,40.0,73.33333333333333,8.333333333333332,56.666666666666664,28.333333333333332,51.66666666666667,40.0,91.66666666666666,80.0,95.0,100.0,90.0,100.0,71.66666666666667,5.0,37.0,17.0,56.0,26.0,44.0,30.0,35.0,6.0,13.0,4.0,1.0,4.0,1.0,18.0
ICICIBANK,Private Banks,2,538,22.57,-15085.0,14.73,7.0919,1.0795,0.0665,-1069.0,18563.0,15.0,5.9587,24.0,487659,17494.0,30.833333333333336,41.66666666666667,68.33333333333333,18.333333333333332,63.33333333333333,41.66666666666667,1.6666666666666667,27.500000000000004,55.00000000000001,81.66666666666667,12.5,26.666666666666668,95.0,50.0,70.0,4.0,36.0,20.0,50.0,22.0,36.0,60.0,39.0,28.0,12.0,39.0,45.0,3.0,31.0,19.0
ICICIBANK,Private Banks,2,539,23.6,-13084.0,15.28,7.1053,1.0911,0.0662,-8985.0,15750.0,17.0,6.6173,24.0,543055,6765.0,30.833333333333336,43.333333333333336,78.33333333333333,23.333333333333332,69.16666666666667,43.333333333333336,3.3333333333333335,25.0,35.0,78.33333333333333,21.666666666666668,31.666666666666664,95.0,56.666666666666664,51.66666666666667,4.0,35.0,14.0,47.0,19.0,35.0,59.0,40.0,40.0,14.0,37.0,42.0,3.0,27.0,30.0
ICICIBANK,Private Banks,2,540,23.55,-16120.0,15.28,7.0504,1.0989,0.0665,-25448.0,13175.0,19.0,7.3022,24.0,597207,-12273.0,30.833333333333336,45.0,76.66666666666667,16.666666666666664,69.16666666666667,36.666666666666664,5.0,27.500000000000004,11.666666666666666,75.0,27.500000000000004,38.333333333333336,95.0,58.333333333333336,18.333333333333332,4.0,34.0,15.0,51.0,19.0,39.0,58.0,39.0,54.0,16.0,35.0,38.0,3.0,26.0,50.0
ICICIBANK,Private Banks,2,541,18.43,-26955.0,11.61,7.1347,1.24,0.0645,11585.0,12060.0,16.0,8.0921,29.0,671455,23645.0,30.833333333333336,46.666666666666664,28.333333333333332,11.666666666666666,25.0,45.0,18.333333333333332,21.666666666666668,71.66666666666667,70.0,18.333333333333332,43.333333333333336,98.33333333333333,63.33333333333333,78.33333333333333,4.0,33.0,44.0,54.0,43.0,34.0,50.0,42.0,18.0,19.0,38.0,35.0,2.0,23.0,14.0
ICICIBANK,Private Banks,2,542,18.61,-37737.0,10.84,6.6985,1.2158,0.0618,50925.0,1711.0,16.0,8.9813,14.0,700874,52636.0,30.833333333333336,48.333333333333336,31.666666666666664,10.0,21.666666666666668,26.666666666666668,8.333333333333332,14.166666666666666,98.33333333333333,36.666666666666664,18.333333333333332,51.66666666666667,56.666666666666664,65.0,93.33333333333333,4.0,32.0,42.0,55.0,45.0,45.0,56.0,45.0,2.0,39.0,38.0,30.0,9.0,22.0,5.0
ICICIBANK,Private Banks,2,543,14.64,-44906.0,8.23,7.3687,1.2804,0.0553,-31168.0,50551.0,12.0,8.6026,12.0,815198,19383.0,30.833333333333336,50.0,16.666666666666664,5.0,15.0,53.333333333333336,28.333333333333332,3.3333333333333335,10.0,93.33333333333333,6.666666666666667,48.333333333333336,44.166666666666664,71.66666666666667,73.33333333333333,4.0,31.0,51.0,58.0,49.0,29.0,44.0,51.0,55.0,5.0,41.0,32.0,11.0,18.0,17.0
ICICIBANK,Private Banks,2,544,7.9,-50971.0,4.98,7.8041,1.4109,0.0581,18389.0,30282.0,7.0,8.8637,15.0,891641,48671.0,30.833333333333336,51.66666666666667,5.0,1.6666666666666667,5.0,60.0,53.333333333333336,8.333333333333332,81.66666666666667,86.66666666666667,5.0,50.0,66.66666666666666,75.0,91.66666666666666,4.0,30.0,58.0,60.0,55.0,25.0,29.0,48.0,12.0,9.0,42.0,31.0,8.0,16.0,6.0
