company_id,financial_year,financial_momentum_score,trend_classification
AMBUJACEM,2024,-3,Strong Decline
GODREJCP,2024,-3,Strong Decline
TATASTEEL,2024,-3,Strong Decline
LTIM,2024,-3,Strong Decline
INFY,2024,-2,Strong Decline
IRCTC,2024,-2,Strong Decline
DIVISLAB,2024,-2,Strong Decline
COALINDIA,2024,-2,Strong Decline
JSWENERGY,2024,-2,Strong Decline
LICI,2024,-2,Strong Decline
MOTHERSON,2024,-2,Strong Decline
TECHM,2024,-2,Strong Decline
GRASIM,2024,-2,Strong Decline
BHEL,2024,-1,Declining
DABUR,2024,-1,Declining
ADANIENT,2024,-1,Declining
ITC,2024,-1,Declining
HINDUNILVR,2024,-1,Declining
HAVELLS,2024,-1,Declining
HCLTECH,2024,-1,Declining
BAJAJFINSV,2024,-1,Declining
ASIANPAINT,2024,-1,Declining
KOTAKBANK,2024,-1,Declining
NHPC,2024,-1,Declining
SUNPHARMA,2024,-1,Declining
SHRIRAMFIN,2024,-1,Declining
