company_id,year,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,dividend_payout_ratio,financial_year,return_on_equity_pct_yoy_change,debt_to_equity_yoy_change,interest_coverage_yoy_change,asset_turnover_yoy_change,dividend_payout_ratio_yoy_change,roe_momentum,debt_momentum,interest_momentum,asset_turnover_momentum,financial_momentum_score,trend_classification
ABB,Mar 2024,32.46823465801568,0.0224384968910516,121.08333333333331,1.1263238975544,6.078268109908409,2024,2.700355109709534,-0.013006923435171697,45.708333333333314,-0.04773229208563512,-1.6140395823992835,1,0,1,0,2,Improving
ADANIENSOL,Mar 2024,9.461276797721698,2.93252116130053,2.063968196602819,0.2836960606785336,0.0,2024,-1.4417787814765326,0.015677174578256015,0.4393727273471555,0.037219015510544295,0.0,0,0,0,0,0,Declining
ADANIENT,Mar 2024,8.534650424813185,1.671358378544375,2.497694840834248,0.6004321671876751,0.1499250374812593,2024,1.2065816825663536,0.06172478198148745,0.2759765238778358,-0.30232693189356885,-0.09780411198199421,0,0,0,-1,-1,Declining
ADANIGREEN,Mar 2024,12.81269066503966,6.595281675818589,1.4618457850579305,0.1046704357105555,0.0,2024,-0.5087770238979079,-0.8284587403917074,-0.24547128811280117,-0.01154711349807111,0.0,0,1,0,0,1,Improving
ADANIPORTS,Mar 2024,15.3548827162833,0.937322369168972,5.703988291255032,0.2283010965905691,0.1974333662388943,2024,3.4775556105969,-0.23992321896912316,1.0713179569342541,0.0430537240081042,-0.17355531860621792,1,1,1,0,3,Strong Improvement
ADANIPOWER,Mar 2024,48.27674122146251,0.8023177656738903,5.380165289256198,0.5472399439185297,0.0,2024,12.371666914326347,-0.615208007521986,2.351970928128424,0.09545075479232518,0.0,1,1,1,0,3,Strong Improvement
AMBUJACEM,Mar 2024,11.428984947896565,0.0168612504824392,23.18840579710145,0.5081135747230352,0.2532714225411566,2024,-3.2077587611828715,-0.001952348949603,-19.345840778241023,-0.1326341301768652,-0.9593397334814788,-1,0,-1,-1,-3,Strong Decline
APOLLOHOSP,Mar 2024,13.480392156862743,0.7688869665513264,5.33184855233853,1.1383944570541151,2.7807486631016043,2024,-0.13690374504109748,0.06995182618346574,-0.08809895422314984,-0.013936286564086853,-0.2998200572775427,0,0,0,0,0,Declining
ASIANPAINT,Mar 2024,29.677488252883386,0.1321016659547202,37.0,1.187084044011906,1.043540842029507,2024,3.4456223199169074,0.011228729486486094,-6.472222222222221,-0.15078786723368176,-0.386733293846536,1,0,-1,-1,-1,Declining
AXISBANK,Mar 2024,15.832712405189048,8.249122739980766,1.6907138401212014,0.0720367478374617,0.0040223643457624,2024,8.45104636778758,-0.6276619973844877,-0.11124366467964109,0.008690377884069289,-0.0272928757377449,1,1,0,0,2,Improving
BAJAJ-AUTO,Mar 2024,26.61418410330778,0.0660175402251225,146.08333333333334,1.1404534363562424,0.3762324857291126,2024,5.9752630488836935,0.0617943946628312,-15.541666666666657,0.10291359118320043,-0.69637477499696,1,0,-1,1,1,Improving
BAJAJFINSV,Mar 2024,25.850351412279537,4.789368120938867,2.197345085182996,0.2053943414307379,0.0128246232766912,2024,-0.46033447562531293,0.21538143789536068,-0.21525588412233487,0.002947874845801002,-0.0035553931033251007,0,-1,0,0,-1,Declining
BAJAJHLDNG,Mar 2024,13.576787656460263,0.0011613545449517,781.0,0.0261199183560718,0.2715546503733876,2024,2.382183519028727,-0.0009435750643914001,726.7142857142857,0.016305674541677598,-0.2945593811672513,1,0,1,0,2,Improving
BAJFINANCE,Mar 2024,18.841921351830603,3.824788776468134,2683.1666666666665,0.1463025160881668,0.1037990450487855,2024,-2.3233843202064755,-0.16053455171548991,5221.766666666666,-0.0041592862124879,-0.035234670627265915,-1,1,1,0,1,Improving
BANKBARODA,Mar 2024,15.761863790899902,12.143718727289434,1.8966195136544295,0.0715378223625568,0.1112936562615931,2024,1.4788691690351659,-0.6361775175347066,-0.4524434663762924,0.009604015376252002,-0.015330802252235598,0,1,0,0,1,Improving
BEL,Mar 2024,4744.047619047619,0.5119047619047619,420.9166666666667,125.88819875776396,1.0037641154328731,2024,762.7142857142862,-0.008095238095238155,205.65350877192984,2.735420979986202,-0.4697790861746285,1,0,1,1,3,Strong Improvement
BHARTIARTL,Mar 2024,10.35839213740181,2.6094723973904306,3.456905687036383,0.3393112060793767,0.7244683337228325,2024,-5.4829239540335415,-0.3045458845223372,-0.23604768083926508,0.026314222565451628,0.50472388837409,-1,1,0,0,0,Declining
BHEL,Mar 2024,1.1539405843358703,0.3623864473361158,0.8586956521739131,0.399628688031043,10.99290780141844,2024,-1.5288061545270386,0.1386601367281907,-0.8471867007672633,-0.005563459582719477,7.7818986271065125,0,-1,0,0,-1,Declining
BOSCHLTD,Mar 2024,20.639920424403183,0.0032327586206896,41.07843137254902,0.9638144626908672,1.7670682730923692,2024,7.709746993003927,-0.0015797357041990997,-109.75490196078432,0.04561531145155362,-5.185178917918867,1,0,-1,0,0,Declining
BPCL,Mar 2024,35.511337343822305,0.7218747934157467,10.62472885032538,2.213651947949293,0.1228638445213894,2024,31.529797042637746,-0.5743398472927471,7.714448476493604,-0.3018417285893098,-1.7541891822266162,1,1,1,-1,2,Improving
BRITANNIA,Mar 2024,54.14869322506978,0.5239786856127886,19.3109756097561,1.8484347442680773,3.889409559512652,2024,-11.386111528750249,-0.3240688525875509,2.5594963198152705,0.1051987267298462,0.6510675906007353,-1,1,1,1,2,Improving
CANBK,Mar 2024,16.716051794688113,14.867419925542425,1.6109055365496054,0.0719985042520674,0.1233686124277644,2024,2.1812425600556793,-0.9826326021947835,-0.07801845160439247,0.0098094135009614,-0.044106046012076905,1,1,0,0,2,Improving
CHOLAFIN,Mar 2024,17.455213596692694,6.863420609401317,21.11764705882353,0.1223019286981606,0.1461988304093567,2024,-1.1213931229504084,0.07699930729619986,4.658556149732618,0.00891338548219961,-0.0789418825362343,0,0,1,0,1,Improving
CIPLA,Mar 2024,15.554557028383137,0.0209316258518684,35.29528985507246,0.7922417237881536,0.601829561868079,2024,3.451340042011541,-0.013374350992665197,-25.2030036602859,0.015688822764262866,-0.24532892736594858,1,0,-1,0,0,Declining
COALINDIA,Mar 2024,45.16982956605826,0.0788468512027076,11.237732253454023,0.6018691588785047,0.1123926249029944,2024,-6.96928257502617,0.007663641959245002,-3.094584819716708,-0.022586567512215994,-0.0357648633547365,-1,0,-1,0,-2,Strong Decline
DABUR,Mar 2024,18.355969997972835,0.1383539428339752,19.35483870967742,0.8205874569992061,2.926559911651021,2024,-0.6009006138626702,0.007516987523599694,-8.363110008271299,-0.0239774419167037,-0.2480432629521534,0,0,-1,0,-1,Declining
DIVISLAB,Mar 2024,11.78984599513669,0.0002210596124088,552.5,0.5074385510996119,3.125,2024,-2.4969872468152197,-9.22481341252e-05,-632.5,-0.031001656872658434,0.7127192982456143,-1,0,-1,0,-2,Strong Decline
DLF,Mar 2024,6.908270142781061,0.1225938982019223,5.966292134831461,0.1088049569147945,1.6519823788546255,2024,1.5111836142699024,0.0341283795880767,1.563230910341665,0.0004773300411736042,-0.7570638355013235,0,0,1,0,1,Improving
DMART,Mar 2024,13.56294790886726,0.0316611402289014,70.79310344827586,2.398875873795579,0.0,2024,-1.2274489066570577,-0.008331396156221096,16.47967061245496,0.03267869069698737,0.0,0,0,1,0,1,Improving
DRREDDY,Mar 2024,19.74233736816026,0.0708572237559283,46.39181286549707,0.7223053120165034,0.2151308712800287,2024,0.38736012861718905,0.0130113077548977,1.1470576207418262,-0.043629675098899146,-0.11768474886641009,0,0,1,0,1,Improving
EICHERMOT,Mar 2024,22.172346910501524,0.0232197284566361,84.88235294117646,0.7153796236210254,0.8747813046738315,2024,2.732720492889783,0.0040069199176101,-38.18907563025209,-0.03688623740616492,-0.32631684220331336,1,0,-1,0,0,Declining
GAIL,Mar 2024,12.86154006000234,0.2830499889606088,19.908205841446453,1.068088347296268,0.3736241542966778,2024,4.24262959132213,0.008649508420925767,-0.639739364032998,-0.2831291287020625,-0.680700363215831,1,0,0,-1,0,Declining
GODREJCP,Mar 2024,-4.45308779171297,0.2557548817272583,9.538709677419355,0.7664201826881253,,2024,-16.79178577634397,0.1738352065061477,-3.4559711736444747,0.0027567084666422215,,-1,-1,-1,0,-3,Strong Decline
GRASIM,Mar 2024,11.196462612658342,1.547099364939709,2.9314433545327154,0.3178182841724175,0.1208946201894015,2024,-2.872268179041132,0.23853468535321132,-0.6405288493058019,-0.031406679681001026,0.030625618564559504,-1,-1,0,0,-2,Strong Decline
