company_id,financial_year,financial_momentum_score,trend_classification
TRENT,2024,4,Strong Improvement
TATAMOTORS,2024,4,Strong Improvement
ADANIPOWER,2024,3,Strong Improvement
ADANIPORTS,2024,3,Strong Improvement
PNB,2024,3,Strong Improvement
LODHA,2024,3,Strong Improvement
BEL,2024,3,Strong Improvement
CANBK,2024,2,Improving
BRITANNIA,2024,2,Improving
BPCL,2024,2,Improving
BAJAJHLDNG,2024,2,Improving
ABB,2024,2,Improving
LT,2024,2,Improving
ICICIPRULI,2024,2,Improving
IOC,2024,2,Improving
UNIONBANK,2024,2,Improving
TVSMOTOR,2024,2,Improving
TCS,2024,2,Improving
PIDILITIND,2024,2,Improving
TORNTPHARM,2024,2,Improving
