company_id,financial_year,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,financial_momentum_score,debt_risk_score,profitability_risk_score,interest_risk_score,efficiency_risk_score,momentum_risk_score,total_risk_score,normalized_risk_score,risk_category,risk_rank
KOTAKBANK,2024,14.013018188532914,4.003739266919029,1.237006073034151,0.0732570242045053,-1,3,1,2,3,2,11,73.33,High Risk,1
SHRIRAMFIN,2024,15.116350338120824,3.994034363699512,0.6750705671028997,0.1465685998082701,-1,3,0,3,3,2,11,73.33,High Risk,1
UNIONBANK,2024,14.136560175413432,12.823705403799256,0.0724386086736948,0.0715950687448466,2,3,1,3,3,1,11,73.33,High Risk,1
ADANIGREEN,2024,12.81269066503966,6.595281675818589,1.4618457850579305,0.1046704357105555,1,3,1,2,3,1,10,66.67,High Risk,2
HDFCBANK,2024,14.33974005030719,6.808786667718385,1.4008974956974891,0.0703809791786698,1,3,1,2,3,1,10,66.67,High Risk,2
INDUSINDBK,2024,14.252273197764223,6.885742949503957,1.8787814230933104,0.0888422810646003,1,3,1,2,3,1,10,66.67,High Risk,2
JSWENERGY,2024,8.280529953917052,1.5156009984639016,2.621529469069654,0.1988332438935724,-2,2,1,1,3,3,10,66.67,High Risk,2
BHEL,2024,1.1539405843358703,0.3623864473361158,0.8586956521739131,0.399628688031043,-1,0,2,3,3,2,10,66.67,High Risk,2
PFC,2024,26.1609340860332,8.521864217426122,0.5792243193816639,0.0880835748601615,1,3,0,3,3,1,10,66.67,High Risk,2
TATASTEEL,2024,-5.334926929972293,0.9461835171402184,2.9632392115077253,0.8509498277091255,-3,1,3,1,2,3,10,66.67,High Risk,2
GRASIM,2024,11.196462612658342,1.547099364939709,2.9314433545327154,0.3178182841724175,-2,2,1,1,3,3,10,66.67,High Risk,2
IRFC,2024,13.038085361638096,8.378352548852153,1.3189891050196507,0.05492885738906,1,3,1,2,3,1,10,66.67,High Risk,2
BANKBARODA,2024,15.761863790899902,12.143718727289434,1.8966195136544293,0.0715378223625568,1,3,0,2,3,1,9,60.0,High Risk,3
ICICIBANK,2024,17.99027109750765,6.445624336310825,1.301063746373592,0.0674753591592102,0,3,0,2,3,1,9,60.0,High Risk,3
BAJAJFINSV,2024,25.850351412279537,4.789368120938867,2.197345085182996,0.2053943414307379,-1,3,0,1,3,2,9,60.0,High Risk,3
ADANIENSOL,2024,9.461276797721698,2.93252116130053,2.063968196602819,0.2836960606785336,0,3,1,1,3,1,9,60.0,High Risk,3
BHARTIARTL,2024,10.35839213740181,2.6094723973904306,3.456905687036383,0.3393112060793767,0,3,1,1,3,1,9,60.0,High Risk,3
CANBK,2024,16.716051794688113,14.867419925542425,1.6109055365496054,0.0719985042520674,2,3,0,2,3,1,9,60.0,High Risk,3
AXISBANK,2024,15.832712405189048,8.249122739980766,1.6907138401212014,0.0720367478374617,2,3,0,2,3,1,9,60.0,High Risk,3
RECLTD,2024,20.39653929343908,6.4249170872386445,1.5988713770535594,0.0866796426792851,1,3,0,2,3,1,9,60.0,High Risk,3
GODREJCP,2024,-4.45308779171297,0.2557548817272583,9.538709677419355,0.7664201826881253,-3,0,3,0,2,3,8,53.33,High Risk,4
NTPC,2024,13.273598407068633,1.475521125007778,4.183074546784814,0.3724372910920175,0,2,1,1,3,1,8,53.33,High Risk,4
TATAPOWER,2024,13.227840276919272,1.659321300531586,2.317073170731707,0.4419074604110633,1,2,1,1,3,1,8,53.33,High Risk,4
ADANIENT,2024,8.534650424813185,1.671358378544375,2.497694840834248,0.6004321671876751,-1,2,1,1,2,2,8,53.33,High Risk,4
