company_id,composite_score,financial_momentum_score,trend_classification,normalized_risk_score,risk_category,primary_risk_driver,quality_score_100,momentum_score_100,safety_score_100,final_investment_score,recommendation,recommendation_confidence,confidence_level,investment_rank
BEL,73.18932546730971,3,Strong Improvement,6.67,Low Risk,Debt Risk,100.0,85.71,93.33,95.14,Strong Buy,90.28,High Confidence,1
HAL,58.20671443320665,0,Declining,13.33,Low Risk,Debt Risk,79.45,42.86,86.67,74.3,Buy,48.6,Moderate Confidence,2
TRENT,25.274905553121737,4,Strong Improvement,6.67,Low Risk,Asset Efficiency Risk,34.29,100.0,93.33,65.14,Buy,30.28,Moderate Confidence,3
INDIGO,37.52617118088331,1,Improving,6.67,Low Risk,Financial Momentum Risk,51.09,57.14,93.33,64.97,Buy,29.94,Low Confidence,4
ABB,31.765038020926067,2,Improving,13.33,Low Risk,Asset Efficiency Risk,43.19,71.43,86.67,61.88,Buy,23.76,Low Confidence,5
TATAMOTORS,23.349936074422565,4,Strong Improvement,20.0,Low Risk,Debt Risk,31.65,100.0,80.0,59.82,Hold,19.64,Low Confidence,6
PIDILITIND,28.05180900555733,2,Improving,13.33,Low Risk,Asset Efficiency Risk,38.1,71.43,86.67,59.34,Hold,18.68,Low Confidence,7
NESTLEIND,28.004046106336716,1,Improving,6.67,Low Risk,Financial Momentum Risk,38.03,57.14,93.33,58.44,Hold,16.88,Low Confidence,8
LT,26.53890818951801,2,Improving,13.33,Low Risk,Interest Coverage Risk,36.02,71.43,86.67,58.3,Hold,16.6,Low Confidence,9
MARUTI,26.186648495196287,2,Improving,13.33,Low Risk,Asset Efficiency Risk,35.54,71.43,86.67,58.06,Hold,16.12,Low Confidence,10
TCS,26.132184586191595,2,Improving,13.33,Low Risk,Asset Efficiency Risk,35.47,71.43,86.67,58.02,Hold,16.04,Low Confidence,11
BRITANNIA,28.394906732339333,2,Improving,20.0,Low Risk,Debt Risk,38.57,71.43,80.0,57.57,Hold,15.14,Low Confidence,12
ADANIPOWER,24.092773705313792,3,Strong Improvement,20.0,Low Risk,Asset Efficiency Risk,32.67,85.71,80.0,57.48,Hold,14.96,Low Confidence,13
BPCL,24.496845450240077,2,Improving,13.33,Low Risk,Debt Risk,33.22,71.43,86.67,56.9,Hold,13.8,Low Confidence,14
LODHA,24.756340501330637,3,Strong Improvement,26.67,Moderate Risk,Asset Efficiency Risk,33.58,85.71,73.33,55.93,Hold,11.86,Low Confidence,15
BAJAJ-AUTO,26.65580354208872,1,Improving,13.33,Low Risk,Asset Efficiency Risk,36.18,57.14,86.67,55.52,Hold,11.04,Low Confidence,16
BAJAJHLDNG,31.187215673737484,2,Improving,33.33,Moderate Risk,Asset Efficiency Risk,42.4,71.43,66.67,55.49,Hold,10.98,Low Confidence,17
ADANIPORTS,23.801812950814803,3,Strong Improvement,26.67,Moderate Risk,Asset Efficiency Risk,32.27,85.71,73.33,55.28,Hold,10.56,Low Confidence,18
DMART,25.87762612966504,1,Improving,13.33,Low Risk,Profitability Risk,35.12,57.14,86.67,54.99,Hold,9.98,Low Confidence,19
TORNTPHARM,27.487943718517105,2,Improving,26.67,Moderate Risk,Asset Efficiency Risk,37.33,71.43,73.33,54.95,Hold,9.9,Low Confidence,20
IOC,24.311887356256037,2,Improving,20.0,Low Risk,Debt Risk,32.97,71.43,80.0,54.77,Hold,9.54,Low Confidence,21
BAJFINANCE,38.83155382980821,1,Improving,46.67,Moderate Risk,Debt Risk,52.88,57.14,53.33,53.87,Hold,7.74,Low Confidence,22
HEROMOTOCO,27.455227847247297,0,Declining,13.33,Low Risk,Asset Efficiency Risk,37.28,42.86,86.67,53.21,Hold,6.42,Low Confidence,23
DRREDDY,25.66477077103486,1,Improving,20.0,Low Risk,Asset Efficiency Risk,34.83,57.14,80.0,52.84,Hold,5.68,Low Confidence,24
ICICIGI,27.683981613967436,1,Improving,26.67,Moderate Risk,Asset Efficiency Risk,37.59,57.14,73.33,52.22,Hold,4.44,Low Confidence,25
ICICIPRULI,26.23330666268207,2,Improving,33.33,Moderate Risk,Asset Efficiency Risk,35.61,71.43,66.67,52.09,Hold,4.18,Low Confidence,26
NAUKRI,32.681642335798315,1,Improving,40.0,Moderate Risk,Asset Efficiency Risk,44.45,57.14,60.0,51.65,Hold,3.3,Low Confidence,27
BOSCHLTD,27.18508855172415,0,Declining,20.0,Low Risk,Asset Efficiency Risk,36.91,42.86,80.0,51.03,Hold,2.06,Low Confidence,28
TATACONSUM,29.76771282939156,0,Declining,26.67,Moderate Risk,Asset Efficiency Risk,40.45,42.86,73.33,50.8,Hold,1.6,Low Confidence,29
EICHERMOT,26.64637941202356,0,Declining,20.0,Low Risk,Asset Efficiency Risk,36.17,42.86,80.0,50.66,Hold,1.32,Low Confidence,30
ULTRACEMCO,25.347073283165216,1,Improving,26.67,Moderate Risk,Asset Efficiency Risk,34.39,57.14,73.33,50.62,Hold,1.24,Low Confidence,31
HDFCLIFE,28.024220153361053,1,Improving,33.33,Moderate Risk,Asset Efficiency Risk,38.06,57.14,66.67,50.46,Hold,0.92,Low Confidence,32
SIEMENS,26.138758866602284,0,Declining,20.0,Low Risk,Asset Efficiency Risk,35.48,42.86,80.0,50.31,Hold,0.62,Low Confidence,33
CIPLA,25.999660239487252,0,Declining,20.0,Low Risk,Asset Efficiency Risk,35.29,42.86,80.0,50.22,Hold,0.44,Low Confidence,34
JINDALSTEL,24.67228371413501,1,Improving,26.67,Moderate Risk,Asset Efficiency Risk,33.46,57.14,73.33,50.16,Hold,0.32,Low Confidence,35
GAIL,25.25247135608137,0,Declining,20.0,Low Risk,Profitability Risk,34.26,42.86,80.0,49.7,Hold,0.6,Low Confidence,36
