company_id,roe,opm_percentage,net_profit,eps,profit_before_tax,valuation_score,valuation_rating
ABB,0.0,12.0,145,68.0,215,47.1,Weak
ABB,0.0,12.0,198,93.0,295,63.0,Moderate
ABB,0.0,14.0,229,108.0,344,72.9,Moderate
ABB,0.0,14.0,255,120.0,398,80.7,Moderate
ABB,0.0,14.0,277,130.0,436,87.3,Moderate
ABB,0.0,16.0,401,189.0,621,125.1,Strong
ABB,0.0,16.0,450,212.0,699,139.8,Strong
ABB,0.0,18.0,593,279.0,803,183.3,Strong
ABB,0.0,21.0,691,325.0,926,213.6,Strong
ABB,0.0,22.0,799,376.0,1080,246.29999999999998,Strong
ABB,0.0,23.0,949,447.0,1274,291.59999999999997,Strong
ABB,0.0,25.0,1201,565.0,1618,367.8,Strong
ABB,0.0,26.0,1285,605.0,1728,393.3,Strong
ADANIENSOL,0.0,0.0,0,0.0,0,0.0,Weak
ADANIENSOL,0.0,78.0,-7,0.0,-5,21.299999999999997,Weak
ADANIENSOL,0.0,88.0,368,3.0,480,136.79999999999998,Strong
ADANIENSOL,0.0,69.0,416,4.0,532,145.5,Strong
ADANIENSOL,0.0,72.0,1143,10.0,1472,364.5,Strong
ADANIENSOL,0.0,38.0,559,5.0,840,179.1,Strong
ADANIENSOL,0.0,37.0,706,7.0,1107,222.89999999999998,Strong
ADANIENSOL,0.0,40.0,1290,11.0,1620,399.0,Strong
ADANIENSOL,0.0,37.0,1236,11.0,1700,381.90000000000003,Strong
ADANIENSOL,0.0,34.0,1281,11.0,1712,394.5,Strong
ADANIENSOL,0.0,30.0,1196,10.0,1780,367.8,Strong
ADANIENSOL,0.0,0.0,589,6.0,653,176.7,Strong
ADANIENT,0.0,13.0,1218,15.0,2005,369.29999999999995,Strong
ADANIENT,0.0,17.0,2646,20.0,1614,798.9,Strong
ADANIENT,0.0,19.0,2298,18.0,2663,695.1,Strong
ADANIENT,0.0,5.0,1000,9.0,1056,301.5,Strong
ADANIENT,0.0,5.0,925,9.0,1079,279.0,Strong
ADANIENT,0.0,6.0,594,7.0,487,180.0,Strong
ADANIENT,0.0,5.0,506,7.0,459,153.29999999999998,Strong
ADANIENT,0.0,5.0,1040,10.0,1122,313.5,Strong
ADANIENT,0.0,6.0,1046,8.0,1086,315.6,Strong
ADANIENT,0.0,5.0,788,7.0,952,237.89999999999998,Strong
ADANIENT,0.0,7.0,2422,22.0,3247,728.7,Strong
ADANIENT,0.0,12.0,3335,28.0,4926,1004.1,Strong
ADANIENT,0.0,14.0,6086,49.0,7691,1830.0,Strong
ADANIGREEN,0.0,80.0,-47,0.0,-184,9.9,Weak
ADANIGREEN,0.0,57.0,-138,-1.0,-210,-24.3,Weak
ADANIGREEN,0.0,74.0,-475,-3.0,-585,-120.3,Weak
ADANIGREEN,0.0,57.0,-68,0.0,-50,-3.3000000000000007,Weak
ADANIGREEN,0.0,72.0,182,1.0,193,76.2,Moderate
ADANIGREEN,0.0,68.0,489,3.0,553,167.1,Strong
ADANIGREEN,0.0,64.0,973,6.0,1426,311.09999999999997,Strong
ADANIGREEN,0.0,79.0,1260,7.0,1671,401.7,Strong
ADANIGREEN,0.0,75.0,1928,9.0,1709,600.9,Strong
ADANIPORTS,0.0,67.0,1639,8.0,1762,511.8,Strong
ADANIPORTS,0.0,60.0,1741,8.0,1978,540.3,Strong
ADANIPORTS,0.0,63.0,2324,11.0,2501,716.0999999999999,Strong
ADANIPORTS,0.0,64.0,2856,14.0,3119,876.0,Strong
ADANIPORTS,0.0,64.0,3902,19.0,4179,1189.8,Strong
ADANIPORTS,0.0,63.0,3690,18.0,5234,1125.9,Strong
ADANIPORTS,0.0,60.0,4045,19.0,5126,1231.5,Strong
ADANIPORTS,0.0,50.0,3785,19.0,4244,1150.5,Strong
